[ 2026-04-18 08:56:00 | None | INFO ] Created experiment folder: /home/thaihoa_hn120/p2pfl/experiments/p2pfl_MNIST_DirichletPartitionStrategy_DFedAdp_2_model_build_fn_20260418_085600 and copied 01_mnist_dirichlet_0.1.yaml
[ 2026-04-18 08:56:00 | None | INFO ] Set simulation heartbeat: timeout=99999s, period=10s
[ 2026-04-18 08:56:02 | node | INFO ] InMemoryServer started at node
[ 2026-04-18 08:56:02 | node | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:56:02 | None | INFO ] 🚀 Created 0/20 nodes, waiting 1.00s for CPU to breathe...
[ 2026-04-18 08:56:03 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-04-18 08:56:03 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:56:04 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-04-18 08:56:04 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:56:06 | node_3 | INFO ] InMemoryServer started at node_3
[ 2026-04-18 08:56:06 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:56:07 | node_4 | INFO ] InMemoryServer started at node_4
[ 2026-04-18 08:56:07 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:56:08 | node_5 | INFO ] InMemoryServer started at node_5
[ 2026-04-18 08:56:08 | node_5 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:56:08 | None | INFO ] 🚀 Created 5/20 nodes, waiting 1.50s for CPU to breathe...
[ 2026-04-18 08:56:10 | node_6 | INFO ] InMemoryServer started at node_6
[ 2026-04-18 08:56:10 | node_6 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:56:12 | node_7 | INFO ] InMemoryServer started at node_7
[ 2026-04-18 08:56:12 | node_7 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:56:13 | node_8 | INFO ] InMemoryServer started at node_8
[ 2026-04-18 08:56:13 | node_8 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:56:15 | node_9 | INFO ] InMemoryServer started at node_9
[ 2026-04-18 08:56:15 | node_9 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:56:17 | node_10 | INFO ] InMemoryServer started at node_10
[ 2026-04-18 08:56:17 | node_10 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:56:17 | None | INFO ] 🚀 Created 10/20 nodes, waiting 2.00s for CPU to breathe...
[ 2026-04-18 08:56:19 | node_11 | INFO ] InMemoryServer started at node_11
[ 2026-04-18 08:56:19 | node_11 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:56:21 | node_12 | INFO ] InMemoryServer started at node_12
[ 2026-04-18 08:56:21 | node_12 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:56:23 | node_13 | INFO ] InMemoryServer started at node_13
[ 2026-04-18 08:56:23 | node_13 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:56:26 | node_14 | INFO ] InMemoryServer started at node_14
[ 2026-04-18 08:56:26 | node_14 | INFO ] 🏁 Starting gossiper...
