[ 2026-02-13 07:07:54 | None | INFO ] Created experiment folder: /mnt/c/Users/thaih/Documents/HK252/DATN/p2pfl/experiments/p2pfl_MNIST_RandomIIDPartitionStrategy_DFedAdp_model_build_fn_20260213_070754 and copied mnist.yaml
[ 2026-02-13 07:08:08 | ActorPool | WARNING ] No GPUs available. Actors will run on CPU only.
[ 2026-02-13 07:08:08 | ActorPool | INFO ] Initialized with 4 actors, 0 GPU per actor
[ 2026-02-13 07:08:08 | node | INFO ] InMemoryServer started at node
[ 2026-02-13 07:08:08 | node | INFO ] 🏁 Starting gossiper...
[ 2026-02-13 07:08:08 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-02-13 07:08:08 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-02-13 07:08:08 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-02-13 07:08:08 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-02-13 07:08:08 |  | INFO ] Connected nodes node and node_1
[ 2026-02-13 07:08:08 |  | INFO ] Connected nodes node and node_2
[ 2026-02-13 07:08:08 |  | INFO ] Connected nodes node_1 and node_2
[ 2026-02-13 07:08:08 | node | INFO ] 🚀 Broadcasting start learning...
[ 2026-02-13 07:08:08 | node_1 | INFO ] 🔍 Neighbors found: ['node', 'node_2'] | Degree: 2
[ 2026-02-13 07:08:08 | node_2 | INFO ] 🔍 Neighbors found: ['node', 'node_1'] | Degree: 2
[ 2026-02-13 07:08:08 | node_1 | INFO ] ⏳ Waiting initialization.
[ 2026-02-13 07:08:08 | node_2 | INFO ] ⏳ Waiting initialization.
[ 2026-02-13 07:08:08 | node | INFO ] 🔍 Neighbors found: ['node_1', 'node_2'] | Degree: 2
[ 2026-02-13 07:08:08 | node | INFO ] ⏳ Waiting initialization.
[ 2026-02-13 07:08:08 | node | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-13 07:08:10 | node_1 | INFO ] 🤖 Model Weights Initialized
[ 2026-02-13 07:08:10 | node_1 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-13 07:08:10 | node_2 | INFO ] 🤖 Model Weights Initialized
[ 2026-02-13 07:08:10 | node_2 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-13 07:08:11 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-02-13 07:08:11 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-02-13 07:08:11 | node | INFO ] 🤫 Gossip finished.
[ 2026-02-13 07:08:12 | node_1 | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['node', 'node_2', 'node_1']
[ 2026-02-13 07:08:12 | node_2 | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['node', 'node_1', 'node_2']
[ 2026-02-13 07:08:12 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-02-13 07:08:12 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-02-13 07:08:12 | node | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['node_1', 'node_2', 'node']
[ 2026-02-13 07:08:12 | node | INFO ] 🔬 Evaluating...
[ 2026-02-13 07:12:26 | node | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 13.478556632995605, 'test_acc\n': 0.11937612295150757, 'test_precision\n': 0.08010479807853699, 'test_recall\n': 0.11754574626684189, 'test_f1\n': 0.061802640557289124}
[ 2026-02-13 07:12:26 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-02-13 07:12:26 | node | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-13 07:12:46 | node | INFO ] 🎓 Training step done.
[ 2026-02-13 07:12:46 | node | INFO ] 🧩 Model added (1/3) from ['node']
[ 2026-02-13 07:12:51 | node | INFO ] 📤 Sending model to 2 direct neighbors: ['node_1', 'node_2']
[ 2026-02-13 07:12:51 | node_1 | INFO ] 🧩 Model added (1/3) from ['node']
[ 2026-02-13 07:12:51 | node_2 | INFO ] 🧩 Model added (1/3) from ['node']
[ 2026-02-13 07:13:50 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 13.44229507446289, 'test_acc\n': 0.11131113022565842, 'test_precision\n': 0.07898149639368057, 'test_recall\n': 0.11212211102247238, 'test_f1\n': 0.05593422055244446}
