[ 2026-02-15 08:49:12 | None | INFO ] Created experiment folder: /root/p2pfl/experiments/p2pfl_MNIST_RandomIIDPartitionStrategy_DFedAdp_model_build_fn_20260215_084912 and copied 00_test_verify.yaml
[ 2026-02-15 08:49:12 | None | INFO ] Set simulation heartbeat: timeout=60s, period=2s
[ 2026-02-15 08:49:16 | 0.0.0.0:47807 | INFO ] 🏁 Starting gossiper...
[ 2026-02-15 08:49:16 | None | INFO ] 🚀 Created 0/3 nodes, waiting 0.50s...
[ 2026-02-15 08:49:17 | 0.0.0.0:54209 | INFO ] 🏁 Starting gossiper...
[ 2026-02-15 08:49:17 | 0.0.0.0:40531 | INFO ] 🏁 Starting gossiper...
[ 2026-02-15 08:49:18 |  | INFO ] Connected nodes 0.0.0.0:47807 and 0.0.0.0:54209
[ 2026-02-15 08:49:18 |  | INFO ] Connected nodes 0.0.0.0:47807 and 0.0.0.0:40531
[ 2026-02-15 08:49:18 |  | INFO ] Connected nodes 0.0.0.0:54209 and 0.0.0.0:40531
[ 2026-02-15 08:49:18 | None | INFO ] 📡 Performing global simulation discovery for 3 nodes...
[ 2026-02-15 08:49:18 | None | INFO ] ⌛ Waiting for direct topology connections (2-2 per node)...
[ 2026-02-15 08:49:18 | None | INFO ] ✅ Network topology ready.
[ 2026-02-15 08:49:18 | 0.0.0.0:47807 | INFO ] 🚀 Broadcasting start learning to 3 nodes...
[ 2026-02-15 08:49:18 | 0.0.0.0:54209 | INFO ] 🔍 Neighbors found: ['0.0.0.0:47807', '0.0.0.0:40531'] | Degree: 2
[ 2026-02-15 08:49:18 | 0.0.0.0:40531 | INFO ] 🔍 Neighbors found: ['0.0.0.0:47807', '0.0.0.0:54209'] | Degree: 2
[ 2026-02-15 08:49:18 | 0.0.0.0:54209 | INFO ] ⏳ Waiting initialization.
[ 2026-02-15 08:49:18 | 0.0.0.0:40531 | INFO ] ⏳ Waiting initialization.
[ 2026-02-15 08:49:18 | 0.0.0.0:47807 | INFO ] 🔍 Neighbors found: ['0.0.0.0:54209', '0.0.0.0:40531'] | Degree: 2
[ 2026-02-15 08:49:18 | 0.0.0.0:47807 | INFO ] ⏳ Waiting initialization.
[ 2026-02-15 08:49:18 | 0.0.0.0:47807 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-15 08:49:19 | 0.0.0.0:54209 | INFO ] 🗣️ Gossiping model initialization.
