[ 2026-04-18 08:49:52 | None | INFO ] Created experiment folder: /home/thaihoa_hn120/p2pfl/experiments/p2pfl_MNIST_DirichletPartitionStrategy_DFedAdp_2_model_build_fn_20260418_084952 and copied 01_mnist_dirichlet_0.1.yaml
[ 2026-04-18 08:49:52 | None | INFO ] Set simulation heartbeat: timeout=99999s, period=10s
[ 2026-04-18 08:49:54 | node | INFO ] InMemoryServer started at node
[ 2026-04-18 08:49:54 | node | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:49:54 | None | INFO ] 🚀 Created 0/20 nodes, waiting 1.00s for CPU to breathe...
[ 2026-04-18 08:49:55 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-04-18 08:49:55 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:49:56 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-04-18 08:49:56 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:49:57 | node_3 | INFO ] InMemoryServer started at node_3
[ 2026-04-18 08:49:57 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:49:59 | node_4 | INFO ] InMemoryServer started at node_4
[ 2026-04-18 08:49:59 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:00 | node_5 | INFO ] InMemoryServer started at node_5
[ 2026-04-18 08:50:00 | node_5 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:00 | None | INFO ] 🚀 Created 5/20 nodes, waiting 1.50s for CPU to breathe...
[ 2026-04-18 08:50:02 | node_6 | INFO ] InMemoryServer started at node_6
[ 2026-04-18 08:50:02 | node_6 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:03 | node_7 | INFO ] InMemoryServer started at node_7
[ 2026-04-18 08:50:03 | node_7 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:05 | node_8 | INFO ] InMemoryServer started at node_8
[ 2026-04-18 08:50:05 | node_8 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:07 | node_9 | INFO ] InMemoryServer started at node_9
[ 2026-04-18 08:50:07 | node_9 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:09 | node_10 | INFO ] InMemoryServer started at node_10
[ 2026-04-18 08:50:09 | node_10 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:09 | None | INFO ] 🚀 Created 10/20 nodes, waiting 2.00s for CPU to breathe...
[ 2026-04-18 08:50:11 | node_11 | INFO ] InMemoryServer started at node_11
[ 2026-04-18 08:50:11 | node_11 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:13 | node_12 | INFO ] InMemoryServer started at node_12
[ 2026-04-18 08:50:13 | node_12 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:15 | node_13 | INFO ] InMemoryServer started at node_13
[ 2026-04-18 08:50:15 | node_13 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:17 | node_14 | INFO ] InMemoryServer started at node_14
[ 2026-04-18 08:50:17 | node_14 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:20 | node_15 | INFO ] InMemoryServer started at node_15
[ 2026-04-18 08:50:20 | node_15 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:20 | None | INFO ] 🚀 Created 15/20 nodes, waiting 2.50s for CPU to breathe...
[ 2026-04-18 08:50:22 | node_16 | INFO ] InMemoryServer started at node_16
[ 2026-04-18 08:50:22 | node_16 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:25 | node_17 | INFO ] InMemoryServer started at node_17
[ 2026-04-18 08:50:25 | node_17 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:28 | node_18 | INFO ] InMemoryServer started at node_18
[ 2026-04-18 08:50:28 | node_18 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:31 | node_19 | INFO ] InMemoryServer started at node_19
[ 2026-04-18 08:50:31 | node_19 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node and node_1
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node and node_4
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node and node_5
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node and node_6
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node and node_17
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node and node_18
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node and node_19
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_1 and node_2
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_1 and node_4
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_1 and node_5
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_1 and node_6
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_1 and node_8
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_1 and node_11
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_1 and node_12
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_1 and node_13
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_1 and node_19
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_2 and node_4
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_2 and node_5
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_2 and node_6
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_2 and node_7
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_2 and node_9
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_2 and node_11
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_2 and node_15
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_2 and node_16
[ 2026-04-18 08:50:33 |  | INFO ] Connected nodes node_2 and node_18
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_3 and node_8
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_3 and node_10
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_3 and node_15
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_3 and node_16
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_3 and node_17
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_3 and node_18
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_4 and node_12
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_4 and node_15
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_4 and node_16
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_4 and node_19
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_5 and node_6
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_5 and node_9
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_5 and node_14
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_5 and node_18
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_6 and node_9
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_6 and node_11
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_6 and node_12
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_6 and node_13
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_6 and node_16
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_6 and node_17
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_6 and node_18
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_6 and node_19
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_7 and node_8
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_7 and node_13
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_7 and node_15
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_7 and node_17
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_7 and node_18
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_8 and node_10
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_8 and node_14
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_8 and node_15
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_9 and node_10
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_9 and node_12
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_9 and node_15
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_9 and node_19
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_10 and node_12
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_10 and node_14
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_10 and node_16
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_10 and node_18
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_10 and node_19
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_11 and node_13
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_11 and node_15
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_11 and node_17
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_12 and node_14
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_12 and node_16
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_12 and node_17
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_12 and node_18
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_12 and node_19
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_13 and node_16
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_13 and node_18
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_14 and node_17
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_14 and node_18
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_14 and node_19
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_15 and node_17
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_15 and node_19
[ 2026-04-18 08:50:34 |  | INFO ] Connected nodes node_18 and node_19
[ 2026-04-18 08:50:34 | None | INFO ] 📡 Performing global simulation discovery for 20 nodes...
[ 2026-04-18 08:50:34 | None | INFO ] ⌛ Waiting for direct topology connections (6-12 per node)...
[ 2026-04-18 08:50:34 | None | INFO ] ✅ Network topology ready.
[ 2026-04-18 08:50:34 | node | INFO ] 🚀 Broadcasting start learning to 20 nodes...
[ 2026-04-18 08:50:34 | node_1 | INFO ] 🔍 Neighbors found: ['node', 'node_2', 'node_4', 'node_5', 'node_6', 'node_8', 'node_11', 'node_12', 'node_13', 'node_19'] | Degree: 10
[ 2026-04-18 08:50:34 | node_4 | INFO ] 🔍 Neighbors found: ['node', 'node_1', 'node_2', 'node_12', 'node_15', 'node_16', 'node_19'] | Degree: 7
[ 2026-04-18 08:50:34 | node_1 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_5 | INFO ] 🔍 Neighbors found: ['node', 'node_1', 'node_2', 'node_6', 'node_9', 'node_14', 'node_18'] | Degree: 7
[ 2026-04-18 08:50:34 | node_4 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_6 | INFO ] 🔍 Neighbors found: ['node', 'node_1', 'node_2', 'node_5', 'node_9', 'node_11', 'node_12', 'node_13', 'node_16', 'node_17', 'node_18', 'node_19'] | Degree: 12
[ 2026-04-18 08:50:34 | node_5 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_17 | INFO ] 🔍 Neighbors found: ['node', 'node_3', 'node_6', 'node_7', 'node_11', 'node_12', 'node_14', 'node_15'] | Degree: 8
[ 2026-04-18 08:50:34 | node_6 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_18 | INFO ] 🔍 Neighbors found: ['node', 'node_2', 'node_3', 'node_5', 'node_6', 'node_7', 'node_10', 'node_12', 'node_13', 'node_14', 'node_19'] | Degree: 11
[ 2026-04-18 08:50:34 | node_17 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_19 | INFO ] 🔍 Neighbors found: ['node', 'node_1', 'node_4', 'node_6', 'node_9', 'node_10', 'node_12', 'node_14', 'node_15', 'node_18'] | Degree: 10
[ 2026-04-18 08:50:34 | node_18 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_19 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_2 | INFO ] 🔍 Neighbors found: ['node_1', 'node_4', 'node_5', 'node_6', 'node_7', 'node_9', 'node_11', 'node_15', 'node_16', 'node_18'] | Degree: 10
[ 2026-04-18 08:50:34 | node_9 | INFO ] 🔍 Neighbors found: ['node_2', 'node_5', 'node_6', 'node_10', 'node_12', 'node_15', 'node_19'] | Degree: 7
[ 2026-04-18 08:50:34 | node_2 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node | INFO ] 🔍 Neighbors found: ['node_1', 'node_4', 'node_5', 'node_6', 'node_17', 'node_18', 'node_19'] | Degree: 7
[ 2026-04-18 08:50:34 | node_14 | INFO ] 🔍 Neighbors found: ['node_5', 'node_8', 'node_10', 'node_12', 'node_17', 'node_18', 'node_19'] | Degree: 7
[ 2026-04-18 08:50:34 | node_9 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_14 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_11 | INFO ] 🔍 Neighbors found: ['node_1', 'node_2', 'node_6', 'node_13', 'node_15', 'node_17'] | Degree: 6
[ 2026-04-18 08:50:34 | node_3 | INFO ] 🔍 Neighbors found: ['node_8', 'node_10', 'node_15', 'node_16', 'node_17', 'node_18'] | Degree: 6
[ 2026-04-18 08:50:34 | node_11 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_12 | INFO ] 🔍 Neighbors found: ['node_1', 'node_4', 'node_6', 'node_9', 'node_10', 'node_14', 'node_16', 'node_17', 'node_18', 'node_19'] | Degree: 10
[ 2026-04-18 08:50:34 | node_7 | INFO ] 🔍 Neighbors found: ['node_2', 'node_8', 'node_13', 'node_15', 'node_17', 'node_18'] | Degree: 6
[ 2026-04-18 08:50:34 | node_3 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_10 | INFO ] 🔍 Neighbors found: ['node_3', 'node_8', 'node_9', 'node_12', 'node_14', 'node_16', 'node_18', 'node_19'] | Degree: 8
[ 2026-04-18 08:50:34 | node_12 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_13 | INFO ] 🔍 Neighbors found: ['node_1', 'node_6', 'node_7', 'node_11', 'node_16', 'node_18'] | Degree: 6
[ 2026-04-18 08:50:34 | node_7 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_16 | INFO ] 🔍 Neighbors found: ['node_2', 'node_3', 'node_4', 'node_6', 'node_10', 'node_12', 'node_13'] | Degree: 7
[ 2026-04-18 08:50:34 | node_13 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_10 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_15 | INFO ] 🔍 Neighbors found: ['node_2', 'node_3', 'node_4', 'node_7', 'node_8', 'node_9', 'node_11', 'node_17', 'node_19'] | Degree: 9
[ 2026-04-18 08:50:34 | node_16 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_8 | INFO ] 🔍 Neighbors found: ['node_1', 'node_3', 'node_7', 'node_10', 'node_14', 'node_15'] | Degree: 6
[ 2026-04-18 08:50:34 | node_15 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node_8 | INFO ] ⏳ Waiting initialization.
[ 2026-04-18 08:50:34 | node | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:35 | node_18 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:35 | node_19 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:36 | node_4 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:36 | node_2 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:36 | node_1 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:36 | node_14 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:36 | node_6 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:37 | node_3 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:37 | node_8 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:37 | node_5 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:37 | node_12 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:38 | node_15 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:38 | node_9 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:38 | node_17 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-04-18 08:50:38 | node_13 | INFO ] 🗣️ Gossiping model initialization.
