city_pop,hour,age,unix_time,amt_diff_avg_30d,trans_count_24h,distance_velocity,merchant_risk_score,merchant_freq_30d,cat_misc_net,cat_grocery_pos,cat_entertainment,cat_gas_transport,cat_misc_pos,cat_grocery_net,cat_shopping_net,cat_shopping_pos,cat_food_dining,cat_personal_care,cat_health_fitness,cat_travel,cat_kids_pets,cat_home,is_fraud,predicted_prob,prediction
-0.22988898,1.495366,-1.1360338,1.9629128,-0.49034524,0.6865081,1.4618925,-0.87718683,-1.549564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.5562632,1
0.8102911,-1.2914469,0.30252665,2.0989246,-0.29010597,1.0109638,-0.03621406,0.47645783,1.7746401,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7095148,1
-0.22684218,0.3219711,-0.6756944,2.142429,6.1095834,2.3087866,-0.021946708,1.6367247,0.46711978,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75634426,1
-0.2880464,1.495366,-0.8483217,2.1916482,0.5036679,1.3354195,8.72643,-0.4904312,1.3757355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.50964177,1
-0.28872198,1.2020173,-0.15781268,2.890721,4.2222342,0.36205244,-0.038302395,0.28308,0.8881856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6830889,1
-0.24834529,-0.70474946,0.36006907,2.8603761,-0.32210764,1.3354195,0.00093943876,0.21862076,0.60008794,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.60319424,1
-0.2935273,1.495366,0.5326963,1.8552489,-0.07059792,1.0109638,0.006255214,-0.55489045,0.60008794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.55021185,1
-0.29390818,1.495366,-0.9058641,2.6089196,1.0442238,2.3087866,0.028754393,-0.4904312,0.356313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.92369527,1
-0.2918615,1.3486917,1.1081204,2.2855787,4.526766,-0.28685895,-0.04121967,0.5409171,-0.90688455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.99814475,1
-0.2916297,1.3486917,0.07235698,3.0593328,4.987232,0.36205244,0.13513036,2.0879395,2.3065128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9800005,1
